# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 0.31936 s. Light curve stops at 0.44736 s. Time resolution is 0.00128 s. There are 350 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector Merge_n2_n5 with energy in [8.0,900.0] keV.
IP LINLIN
DP 0.000000 0.0
DP 0.001280 1.0
DP 0.002560 0.0
DP 0.003840 0.0
DP 0.005120 2.0
DP 0.006400 3.0
DP 0.007680 0.0
DP 0.008960 0.0
DP 0.010240 0.0
DP 0.011520 0.0
DP 0.012800 0.0
DP 0.014080 0.0
DP 0.015360 0.0
DP 0.016640 0.0
DP 0.017920 1.0
DP 0.019200 1.0
DP 0.020480 0.0
DP 0.021760 0.0
DP 0.023040 2.0
DP 0.024320 0.0
DP 0.025600 0.0
DP 0.026880 1.0
DP 0.028160 0.0
DP 0.029440 0.0
DP 0.030720 0.0
DP 0.032000 1.0
DP 0.033280 0.0
DP 0.034560 0.0
DP 0.035840 2.0
DP 0.037120 2.0
DP 0.038400 0.0
DP 0.039680 0.0
DP 0.040960 0.0
DP 0.042240 0.0
DP 0.043520 0.0
DP 0.044800 2.0
DP 0.046080 0.0
DP 0.047360 2.0
DP 0.048640 0.0
DP 0.049920 0.0
DP 0.051200 0.0
DP 0.052480 2.0
DP 0.053760 0.0
DP 0.055040 0.0
DP 0.056320 0.0
DP 0.057600 0.0
DP 0.058880 2.0
DP 0.060160 0.0
DP 0.061440 1.0
DP 0.062720 0.0
DP 0.064000 0.0
DP 0.065280 1.0
DP 0.066560 1.0
DP 0.067840 0.0
DP 0.069120 0.0
DP 0.070400 0.0
DP 0.071680 0.0
DP 0.072960 0.0
DP 0.074240 0.0
DP 0.075520 2.0
DP 0.076800 0.0
DP 0.078080 0.0
DP 0.079360 0.0
DP 0.080640 0.0
DP 0.081920 0.0
DP 0.083200 0.0
DP 0.084480 1.0
DP 0.085760 1.0
DP 0.087040 2.0
DP 0.088320 2.0
DP 0.089600 0.0
DP 0.090880 0.0
DP 0.092160 2.0
DP 0.093440 2.0
DP 0.094720 1.0
DP 0.096000 0.0
DP 0.097280 1.0
DP 0.098560 0.0
DP 0.099840 0.0
DP 0.101120 0.0
DP 0.102400 0.0
DP 0.103680 0.0
DP 0.104960 2.0
DP 0.106240 0.0
DP 0.107520 0.0
DP 0.108800 0.0
DP 0.110080 0.0
DP 0.111360 0.0
DP 0.112640 0.0
DP 0.113920 0.0
DP 0.115200 0.0
