# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 0.06080 s. Light curve stops at 0.89080 s. Time resolution is 0.00640 s. There are 140 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector Merge_n2_na_n1 with energy in [8.0,900.0] keV.
IP LINLIN
DP 0.000000 0.0
DP 0.006400 0.0
DP 0.012800 12.0
DP 0.019200 2.0
DP 0.025600 7.0
DP 0.032000 19.0
DP 0.038400 14.0
DP 0.044800 14.0
DP 0.051200 32.0
DP 0.057600 38.0
DP 0.064000 43.0
DP 0.070400 56.0
DP 0.076800 84.0
DP 0.083200 85.0
DP 0.089600 93.0
DP 0.096000 105.0
DP 0.102400 138.0
DP 0.108800 156.0
DP 0.115200 167.0
DP 0.121600 180.0
DP 0.128000 164.0
DP 0.134400 171.0
DP 0.140800 212.0
DP 0.147200 145.0
DP 0.153600 155.0
DP 0.160000 130.0
DP 0.166400 137.0
DP 0.172800 122.0
DP 0.179200 96.0
DP 0.185600 140.0
DP 0.192000 125.0
DP 0.198400 99.0
DP 0.204800 116.0
DP 0.211200 116.0
DP 0.217600 108.0
DP 0.224000 107.0
DP 0.230400 115.0
DP 0.236800 81.0
DP 0.243200 92.0
DP 0.249600 73.0
DP 0.256000 69.0
DP 0.262400 86.0
DP 0.268800 75.0
DP 0.275200 77.0
DP 0.281600 58.0
DP 0.288000 98.0
DP 0.294400 64.0
DP 0.300800 76.0
DP 0.307200 65.0
DP 0.313600 56.0
DP 0.320000 76.0
DP 0.326400 82.0
DP 0.332800 61.0
DP 0.339200 50.0
DP 0.345600 40.0
DP 0.352000 39.0
DP 0.358400 36.0
DP 0.364800 26.0
DP 0.371200 22.0
DP 0.377600 26.0
DP 0.384000 30.0
DP 0.390400 14.0
DP 0.396800 9.0
DP 0.403200 22.0
DP 0.409600 18.0
DP 0.416000 20.0
DP 0.422400 10.0
DP 0.428800 5.0
DP 0.435200 13.0
DP 0.441600 10.0
DP 0.448000 2.0
DP 0.454400 1.0
DP 0.460800 14.0
DP 0.467200 17.0
DP 0.473600 21.0
DP 0.480000 9.0
DP 0.486400 10.0
DP 0.492800 18.0
DP 0.499200 4.0
DP 0.505600 15.0
DP 0.512000 8.0
DP 0.518400 14.0
DP 0.524800 18.0
DP 0.531200 4.0
DP 0.537600 0.0
DP 0.544000 5.0
DP 0.550400 15.0
DP 0.556800 1.0
DP 0.563200 10.0
DP 0.569600 17.0
DP 0.576000 10.0
DP 0.582400 16.0
DP 0.588800 10.0
DP 0.595200 13.0
DP 0.601600 14.0
DP 0.608000 14.0
DP 0.614400 3.0
DP 0.620800 15.0
DP 0.627200 0.0
DP 0.633600 3.0
DP 0.640000 15.0
DP 0.646400 2.0
DP 0.652800 9.0
DP 0.659200 0.0
DP 0.665600 0.0
DP 0.672000 10.0
DP 0.678400 20.0
DP 0.684800 4.0
DP 0.691200 13.0
DP 0.697600 4.0
DP 0.704000 0.0
DP 0.710400 10.0
DP 0.716800 2.0
DP 0.723200 0.0
DP 0.729600 4.0
DP 0.736000 2.0
DP 0.742400 11.0
DP 0.748800 9.0
DP 0.755200 4.0
DP 0.761600 12.0
DP 0.768000 20.0
DP 0.774400 16.0
DP 0.780800 10.0
DP 0.787200 16.0
DP 0.793600 8.0
DP 0.800000 0.0
DP 0.806400 4.0
DP 0.812800 4.0
DP 0.819200 0.0
DP 0.825600 3.0
DP 0.832000 8.0
DP 0.838400 4.0
DP 0.844800 13.0
DP 0.851200 11.0
DP 0.857600 7.0
DP 0.864000 1.0
DP 0.870400 8.0
DP 0.876800 7.0
DP 0.883200 7.0
DP 0.889600 4.0
EN
