# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 0.13056 s. Light curve stops at 4.67456 s. Time resolution is 0.01536 s. There are 305 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector Merge_n3_n0_n1 with energy in [8.0,900.0] keV.
IP LINLIN
DP 0.000000 11.0
DP 0.015360 19.0
DP 0.030720 9.0
DP 0.046080 32.0
DP 0.061440 16.0
DP 0.076800 35.0
DP 0.092160 40.0
DP 0.107520 49.0
DP 0.122880 45.0
DP 0.138240 37.0
DP 0.153600 58.0
DP 0.168960 61.0
DP 0.184320 64.0
DP 0.199680 79.0
DP 0.215040 97.0
DP 0.230400 114.0
DP 0.245760 133.0
DP 0.261120 139.0
DP 0.276480 187.0
DP 0.291840 196.0
DP 0.307200 189.0
DP 0.322560 175.0
DP 0.337920 209.0
DP 0.353280 191.0
DP 0.368640 155.0
DP 0.384000 183.0
DP 0.399360 171.0
DP 0.414720 174.0
DP 0.430080 121.0
DP 0.445440 155.0
DP 0.460800 105.0
DP 0.476160 97.0
DP 0.491520 99.0
DP 0.506880 82.0
DP 0.522240 96.0
DP 0.537600 64.0
DP 0.552960 69.0
DP 0.568320 61.0
DP 0.583680 79.0
DP 0.599040 53.0
DP 0.614400 48.0
DP 0.629760 79.0
DP 0.645120 40.0
DP 0.660480 23.0
DP 0.675840 40.0
DP 0.691200 23.0
DP 0.706560 18.0
DP 0.721920 38.0
DP 0.737280 36.0
DP 0.752640 14.0
DP 0.768000 13.0
DP 0.783360 24.0
DP 0.798720 35.0
DP 0.814080 17.0
DP 0.829440 19.0
DP 0.844800 23.0
DP 0.860160 35.0
DP 0.875520 34.0
DP 0.890880 42.0
DP 0.906240 26.0
DP 0.921600 46.0
DP 0.936960 39.0
DP 0.952320 50.0
DP 0.967680 50.0
DP 0.983040 42.0
DP 0.998400 59.0
DP 1.013760 71.0
DP 1.029120 89.0
DP 1.044480 78.0
DP 1.059840 115.0
DP 1.075200 112.0
DP 1.090560 107.0
DP 1.105920 150.0
DP 1.121280 173.0
DP 1.136640 163.0
DP 1.152000 188.0
DP 1.167360 181.0
DP 1.182720 242.0
DP 1.198080 277.0
DP 1.213440 273.0
DP 1.228800 250.0
DP 1.244160 249.0
DP 1.259520 230.0
DP 1.274880 282.0
DP 1.290240 308.0
DP 1.305600 295.0
DP 1.320960 323.0
DP 1.336320 363.0
DP 1.351680 385.0
DP 1.367040 405.0
DP 1.382400 410.0
DP 1.397760 448.0
DP 1.413120 431.0
DP 1.428480 398.0
DP 1.443840 373.0
DP 1.459200 370.0
DP 1.474560 334.0
DP 1.489920 379.0
DP 1.505280 347.0
DP 1.520640 357.0
DP 1.536000 311.0
DP 1.551360 312.0
DP 1.566720 293.0
DP 1.582080 294.0
DP 1.597440 295.0
DP 1.612800 253.0
DP 1.628160 254.0
DP 1.643520 250.0
DP 1.658880 212.0
DP 1.674240 167.0
DP 1.689600 177.0
DP 1.704960 116.0
DP 1.720320 114.0
DP 1.735680 133.0
DP 1.751040 127.0
DP 1.766400 141.0
DP 1.781760 107.0
DP 1.797120 120.0
DP 1.812480 100.0
DP 1.827840 115.0
DP 1.843200 84.0
DP 1.858560 76.0
DP 1.873920 86.0
DP 1.889280 61.0
DP 1.904640 69.0
DP 1.920000 52.0
DP 1.935360 61.0
DP 1.950720 56.0
DP 1.966080 46.0
DP 1.981440 47.0
DP 1.996800 26.0
DP 2.012160 39.0
DP 2.027520 42.0
DP 2.042880 41.0
DP 2.058240 51.0
DP 2.073600 44.0
DP 2.088960 34.0
DP 2.104320 46.0
DP 2.119680 38.0
DP 2.135040 25.0
DP 2.150400 25.0
DP 2.165760 24.0
DP 2.181120 6.0
DP 2.196480 9.0
DP 2.211840 47.0
DP 2.227200 29.0
DP 2.242560 41.0
DP 2.257920 17.0
DP 2.273280 6.0
DP 2.288640 11.0
DP 2.304000 21.0
DP 2.319360 16.0
DP 2.334720 1.0
DP 2.350080 9.0
DP 2.365440 27.0
DP 2.380800 14.0
DP 2.396160 18.0
DP 2.411520 27.0
DP 2.426880 25.0
DP 2.442240 14.0
DP 2.457600 16.0
DP 2.472960 7.0
DP 2.488320 2.0
DP 2.503680 17.0
DP 2.519040 5.0
DP 2.534400 0.0
DP 2.549760 2.0
DP 2.565120 23.0
DP 2.580480 1.0
DP 2.595840 14.0
DP 2.611200 17.0
DP 2.626560 7.0
DP 2.641920 0.0
DP 2.657280 0.0
DP 2.672640 11.0
DP 2.688000 9.0
DP 2.703360 0.0
DP 2.718720 6.0
DP 2.734080 0.0
DP 2.749440 0.0
DP 2.764800 0.0
DP 2.780160 6.0
DP 2.795520 18.0
DP 2.810880 13.0
DP 2.826240 6.0
DP 2.841600 0.0
DP 2.856960 0.0
DP 2.872320 12.0
DP 2.887680 9.0
DP 2.903040 7.0
DP 2.918400 2.0
DP 2.933760 12.0
DP 2.949120 1.0
DP 2.964480 0.0
