# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 0.37960 s. Light curve stops at 2.17160 s. Time resolution is 0.01168 s. There are 187 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector Merge_nb_n9_na with energy in [8.0,900.0] keV.
IP LINLIN
DP 0.000000 12.0
DP 0.011680 2.0
DP 0.023360 12.0
DP 0.035040 7.0
DP 0.046720 14.0
DP 0.058400 36.0
DP 0.070080 10.0
DP 0.081760 7.0
DP 0.093440 4.0
DP 0.105120 4.0
DP 0.116800 2.0
DP 0.128480 8.0
DP 0.140160 19.0
DP 0.151840 23.0
DP 0.163520 5.0
DP 0.175200 11.0
DP 0.186880 6.0
DP 0.198560 1.0
DP 0.210240 15.0
DP 0.221920 8.0
DP 0.233600 0.0
DP 0.245280 18.0
DP 0.256960 20.0
DP 0.268640 13.0
DP 0.280320 36.0
DP 0.292000 14.0
DP 0.303680 22.0
DP 0.315360 34.0
DP 0.327040 27.0
DP 0.338720 24.0
DP 0.350400 32.0
DP 0.362080 23.0
DP 0.373760 18.0
DP 0.385440 21.0
DP 0.397120 32.0
DP 0.408800 24.0
DP 0.420480 9.0
DP 0.432160 20.0
DP 0.443840 30.0
DP 0.455520 35.0
DP 0.467200 35.0
DP 0.478880 36.0
DP 0.490560 47.0
DP 0.502240 31.0
DP 0.513920 55.0
DP 0.525600 49.0
DP 0.537280 55.0
DP 0.548960 36.0
DP 0.560640 47.0
DP 0.572320 47.0
DP 0.584000 69.0
DP 0.595680 66.0
DP 0.607360 81.0
DP 0.619040 82.0
DP 0.630720 52.0
DP 0.642400 74.0
DP 0.654080 53.0
DP 0.665760 43.0
DP 0.677440 33.0
DP 0.689120 59.0
DP 0.700800 70.0
DP 0.712480 56.0
DP 0.724160 59.0
DP 0.735840 56.0
DP 0.747520 59.0
DP 0.759200 72.0
DP 0.770880 83.0
DP 0.782560 138.0
DP 0.794240 114.0
DP 0.805920 124.0
DP 0.817600 176.0
DP 0.829280 183.0
DP 0.840960 220.0
DP 0.852640 216.0
DP 0.864320 179.0
DP 0.876000 170.0
DP 0.887680 155.0
DP 0.899360 146.0
DP 0.911040 123.0
DP 0.922720 90.0
DP 0.934400 134.0
DP 0.946080 128.0
DP 0.957760 131.0
DP 0.969440 131.0
DP 0.981120 128.0
DP 0.992800 157.0
DP 1.004480 152.0
DP 1.016160 150.0
DP 1.027840 138.0
DP 1.039520 202.0
DP 1.051200 236.0
DP 1.062880 237.0
DP 1.074560 206.0
DP 1.086240 193.0
DP 1.097920 176.0
DP 1.109600 181.0
DP 1.121280 157.0
DP 1.132960 165.0
DP 1.144640 150.0
DP 1.156320 152.0
DP 1.168000 151.0
DP 1.179680 135.0
DP 1.191360 114.0
DP 1.203040 123.0
DP 1.214720 95.0
DP 1.226400 113.0
DP 1.238080 105.0
DP 1.249760 95.0
DP 1.261440 69.0
DP 1.273120 103.0
DP 1.284800 86.0
DP 1.296480 67.0
DP 1.308160 88.0
DP 1.319840 91.0
DP 1.331520 89.0
DP 1.343200 98.0
DP 1.354880 102.0
DP 1.366560 106.0
DP 1.378240 102.0
DP 1.389920 87.0
DP 1.401600 97.0
DP 1.413280 102.0
DP 1.424960 114.0
DP 1.436640 90.0
DP 1.448320 113.0
DP 1.460000 96.0
DP 1.471680 94.0
DP 1.483360 103.0
DP 1.495040 119.0
DP 1.506720 133.0
DP 1.518400 183.0
DP 1.530080 229.0
DP 1.541760 230.0
DP 1.553440 186.0
DP 1.565120 155.0
DP 1.576800 154.0
DP 1.588480 134.0
DP 1.600160 107.0
DP 1.611840 100.0
DP 1.623520 81.0
DP 1.635200 74.0
DP 1.646880 86.0
DP 1.658560 75.0
DP 1.670240 81.0
DP 1.681920 61.0
DP 1.693600 73.0
DP 1.705280 62.0
DP 1.716960 63.0
DP 1.728640 52.0
DP 1.740320 59.0
DP 1.752000 48.0
DP 1.763680 38.0
DP 1.775360 69.0
DP 1.787040 42.0
DP 1.798720 57.0
DP 1.810400 40.0
DP 1.822080 32.0
DP 1.833760 43.0
DP 1.845440 29.0
DP 1.857120 37.0
DP 1.868800 28.0
DP 1.880480 40.0
DP 1.892160 27.0
DP 1.903840 9.0
DP 1.915520 12.0
DP 1.927200 24.0
DP 1.938880 19.0
DP 1.950560 13.0
DP 1.962240 18.0
DP 1.973920 0.0
DP 1.985600 11.0
DP 1.997280 6.0
DP 2.008960 3.0
DP 2.020640 20.0
DP 2.032320 4.0
DP 2.044000 11.0
DP 2.055680 21.0
DP 2.067360 20.0
DP 2.079040 19.0
DP 2.090720 10.0
DP 2.102400 16.0
DP 2.114080 17.0
DP 2.125760 17.0
DP 2.137440 12.0
DP 2.149120 13.0
DP 2.160800 8.0
DP 2.172480 2.0
EN
