# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 0.19008 s. Light curve stops at 4.15808 s. Time resolution is 0.01408 s. There are 296 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector Merge_n9_na with energy in [8.0,900.0] keV.
IP LINLIN
DP 0.000000 7.0
DP 0.014080 22.0
DP 0.028160 15.0
DP 0.042240 16.0
DP 0.056320 10.0
DP 0.070400 14.0
DP 0.084480 19.0
DP 0.098560 14.0
DP 0.112640 23.0
DP 0.126720 4.0
DP 0.140800 20.0
DP 0.154880 8.0
DP 0.168960 19.0
DP 0.183040 23.0
DP 0.197120 11.0
DP 0.211200 14.0
DP 0.225280 18.0
DP 0.239360 15.0
DP 0.253440 9.0
DP 0.267520 23.0
DP 0.281600 15.0
DP 0.295680 12.0
DP 0.309760 12.0
DP 0.323840 13.0
DP 0.337920 14.0
DP 0.352000 8.0
DP 0.366080 6.0
DP 0.380160 10.0
DP 0.394240 2.0
DP 0.408320 3.0
DP 0.422400 3.0
DP 0.436480 15.0
DP 0.450560 2.0
DP 0.464640 0.0
DP 0.478720 3.0
DP 0.492800 13.0
DP 0.506880 6.0
DP 0.520960 13.0
DP 0.535040 2.0
DP 0.549120 1.0
DP 0.563200 6.0
DP 0.577280 11.0
DP 0.591360 5.0
DP 0.605440 9.0
DP 0.619520 5.0
DP 0.633600 3.0
DP 0.647680 13.0
DP 0.661760 4.0
DP 0.675840 12.0
DP 0.689920 0.0
DP 0.704000 4.0
DP 0.718080 0.0
DP 0.732160 6.0
DP 0.746240 6.0
DP 0.760320 2.0
DP 0.774400 2.0
DP 0.788480 7.0
DP 0.802560 1.0
DP 0.816640 0.0
DP 0.830720 0.0
DP 0.844800 4.0
DP 0.858880 10.0
DP 0.872960 0.0
DP 0.887040 0.0
DP 0.901120 0.0
DP 0.915200 0.0
DP 0.929280 0.0
DP 0.943360 2.0
DP 0.957440 13.0
DP 0.971520 1.0
DP 0.985600 0.0
DP 0.999680 0.0
DP 1.013760 5.0
DP 1.027840 1.0
DP 1.041920 0.0
DP 1.056000 2.0
DP 1.070080 0.0
DP 1.084160 0.0
DP 1.098240 2.0
DP 1.112320 0.0
DP 1.126400 0.0
DP 1.140480 6.0
DP 1.154560 0.0
DP 1.168640 0.0
DP 1.182720 5.0
DP 1.196800 0.0
DP 1.210880 1.0
DP 1.224960 1.0
DP 1.239040 4.0
DP 1.253120 6.0
DP 1.267200 2.0
DP 1.281280 4.0
DP 1.295360 0.0
DP 1.309440 0.0
DP 1.323520 0.0
DP 1.337600 1.0
DP 1.351680 7.0
DP 1.365760 0.0
DP 1.379840 0.0
DP 1.393920 0.0
DP 1.408000 4.0
DP 1.422080 0.0
DP 1.436160 0.0
DP 1.450240 8.0
DP 1.464320 12.0
DP 1.478400 11.0
DP 1.492480 12.0
DP 1.506560 12.0
DP 1.520640 62.0
DP 1.534720 53.0
DP 1.548800 76.0
DP 1.562880 81.0
DP 1.576960 92.0
DP 1.591040 119.0
DP 1.605120 132.0
DP 1.619200 114.0
DP 1.633280 109.0
DP 1.647360 133.0
DP 1.661440 135.0
DP 1.675520 145.0
DP 1.689600 186.0
DP 1.703680 205.0
DP 1.717760 227.0
DP 1.731840 270.0
DP 1.745920 264.0
DP 1.760000 278.0
DP 1.774080 285.0
