units,num_hidden,batch_size,flat,model,val_loss,val_mae
512,2,4,True,"<Functional name=dense_regressor, built=True>",4.737483501434326,22.309711456298828
512,2,4,False,"<Functional name=dense_regressor, built=True>",4.262712001800537,14.058066368103027
512,2,8,True,"<Functional name=dense_regressor, built=True>",4.289731979370117,14.58039379119873
512,2,8,False,"<Functional name=dense_regressor, built=True>",4.259172439575195,13.667142868041992
512,3,4,True,"<Functional name=dense_regressor, built=True>",4.8582892417907715,24.409669876098633
512,3,4,False,"<Functional name=dense_regressor, built=True>",4.5737810134887695,19.36387062072754
512,3,8,True,"<Functional name=dense_regressor, built=True>",4.724591255187988,19.309606552124023
512,3,8,False,"<Functional name=dense_regressor, built=True>",4.620547294616699,17.33890151977539
512,4,4,True,"<Functional name=dense_regressor, built=True>",5.111476898193359,33.87660598754883
512,4,4,False,"<Functional name=dense_regressor, built=True>",4.249884605407715,13.02087116241455
512,4,8,True,"<Functional name=dense_regressor, built=True>",4.9253058433532715,25.52089500427246
512,4,8,False,"<Functional name=dense_regressor, built=True>",4.707880973815918,20.78852081298828
256,2,4,True,"<Functional name=dense_regressor, built=True>",4.174241065979004,12.536094665527344
256,2,4,False,"<Functional name=dense_regressor, built=True>",4.240819454193115,12.981280326843262
256,2,8,True,"<Functional name=dense_regressor, built=True>",4.254310607910156,13.747785568237305
256,2,8,False,"<Functional name=dense_regressor, built=True>",4.247886657714844,12.33700180053711
256,3,4,True,"<Functional name=dense_regressor, built=True>",4.261721134185791,13.2474946975708
256,3,4,False,"<Functional name=dense_regressor, built=True>",4.665141582489014,20.019664764404297
256,3,8,True,"<Functional name=dense_regressor, built=True>",4.445738315582275,16.439302444458008
256,3,8,False,"<Functional name=dense_regressor, built=True>",4.691207408905029,21.932374954223633
256,4,4,True,"<Functional name=dense_regressor, built=True>",4.515132427215576,16.2357120513916
256,4,4,False,"<Functional name=dense_regressor, built=True>",4.505366325378418,14.739253997802734
256,4,8,True,"<Functional name=dense_regressor, built=True>",4.513834476470947,17.96987533569336
256,4,8,False,"<Functional name=dense_regressor, built=True>",4.224820613861084,12.356586456298828
128,2,4,True,"<Functional name=dense_regressor, built=True>",4.107763290405273,11.571675300598145
128,2,4,False,"<Functional name=dense_regressor, built=True>",4.220314979553223,13.365483283996582
128,2,8,True,"<Functional name=dense_regressor, built=True>",4.147623538970947,11.802045822143555
128,2,8,False,"<Functional name=dense_regressor, built=True>",4.097503662109375,11.392769813537598
128,3,4,True,"<Functional name=dense_regressor, built=True>",4.101748466491699,11.5656099319458
128,3,4,False,"<Functional name=dense_regressor, built=True>",4.221383094787598,13.469671249389648
128,3,8,True,"<Functional name=dense_regressor, built=True>",4.311832904815674,15.098076820373535
128,3,8,False,"<Functional name=dense_regressor, built=True>",4.3015241622924805,14.65362548828125
128,4,4,True,"<Functional name=dense_regressor, built=True>",5.150234699249268,28.352338790893555
128,4,4,False,"<Functional name=dense_regressor, built=True>",4.715027809143066,21.437904357910156
128,4,8,True,"<Functional name=dense_regressor, built=True>",4.217360973358154,13.156851768493652
128,4,8,False,"<Functional name=dense_regressor, built=True>",4.221130847930908,12.97799015045166
